Year,Category,Material Type,Vendor,Cost
2013,Reuse,D-Swap For Good,Others,6208
2014,Reuse,D-Donations,Others,1292
2014,Compost,C-Organics,Mission Trail,1240
2014,Compost,C-Organics,Mission Trail,922
2014,Compost,C-Organics,Mission Trail,508
2014,Compost,C-Organics,Mission Trail,1160
2014,Compost,C-Organics,Mission Trail,1466
2014,Compost,C-Organics,Mission Trail,949
2014,Compost,C-Organics,Mission Trail,323
2014,Compost,C-Organics,Mission Trail,1405
2014,Compost,C-Organics,Mission Trail,2559
2014,Compost,C-Organics,Mission Trail,1687
2014,Compost,C-Organics,Mission Trail,1239
2014,Compost,C-Organics,Mission Trail,2598
2015,Reuse,D-Food Recovery Network,Food Recovery Network,1291
2015,Reuse,D-Food Recovery Network,Food Recovery Network,1052
2015,Reuse,D-Food Recovery Network,Food Recovery Network,1430
2015,Reuse,D-Food Recovery Network,Food Recovery Network,1630
2015,Reuse,D-Food Recovery Network,Food Recovery Network,1687
2015,Reuse,D-Donations,Others,1582
2015,Recycle,R-Construction & Demolition,Others,1461
2015,Compost,C-Organics,Mission Trail,1630
2015,Compost,C-Organics,Mission Trail,6208
2015,Compost,C-Organics,Mission Trail,1630
2015,Compost,C-Organics,Mission Trail,1582
2015,Compost,C-Organics,Mission Trail,445
2015,Compost,C-Organics,Mission Trail,6515
2015,Compost,C-Organics,Mission Trail,122
2015,Compost,C-Organics,Mission Trail,943
2015,Compost,C-Organics,Mission Trail,1483
2015,Compost,C-Organics,Mission Trail,901
2015,Compost,C-Organics,Mission Trail,1582
2016,Compost,C-Yardwaste,Mission Trail,1043
2016,Compost,C-Yardwaste,Mission Trail,982
2016,Compost,C-Yardwaste,Mission Trail,944
2016,Compost,C-Foodscraps,Mission Trail,49
2016,Compost,C-Foodscraps,Mission Trail,49
2016,Compost,C-Foodscraps,Mission Trail,49
2016,Compost,C-Foodscraps,Mission Trail,890
2016,Compost,C-Yardwaste,Mission Trail,996
2016,Compost,C-Yardwaste,Mission Trail,1023
2016,Compost,C-Yardwaste,Mission Trail,1243
2016,Compost,C-Yardwaste,Mission Trail,937
2016,Compost,C-Yardwaste,Mission Trail,998
2016,Compost,C-Foodscraps,Mission Trail,37
2016,Compost,C-Foodscraps,Mission Trail,741
2016,Compost,C-Yardwaste,Mission Trail,1001
2016,Compost,C-Yardwaste,Mission Trail,1004
2016,Compost,C-Organics,Mission Trail,4450
2016,Compost,C-Yardwaste,Mission Trail,948
2016,Compost,C-Yardwaste,Mission Trail,1050
2016,Compost,C-Yardwaste,Mission Trail,1083
2016,Compost,C-Foodscraps,Mission Trail,49
